Provinsi,Anomali Ekstrem,Risiko Tinggi,Risiko Menengah,Risiko Rendah,Total Paket
Jawa Timur,7416,17353,9993,307244,342006
Jawa Tengah,6541,15589,8084,277829,308043
Jawa Barat,6503,14837,9066,264238,294644
DKI Jakarta,4755,8702,4549,156799,174805
Kalimantan Selatan,2929,6114,3663,112419,125125
Sulawesi Selatan,2730,4866,2581,93528,103705
Sumatera Utara,2488,5170,2806,92156,102620
Kalimantan Timur,2246,4592,3192,85358,95388
Bali,2021,3742,1886,69637,77286
Kalimantan Barat,1996,4398,2597,85703,94694
Lampung,1854,3788,2059,73416,81117
Nusa Tenggara Barat,1819,3921,1901,70783,78424
Banten,1750,4895,3005,82511,92161
Sumatera Selatan,1739,3641,2179,67596,75155
Nusa Tenggara Timur,1674,3243,1709,62811,69437
Sumatera Barat,1572,3404,1896,62598,69470
DI Yogyakarta,1494,3500,1829,63840,70663
Aceh,1338,3652,2316,66937,74243
Sulawesi Tengah,1318,2723,1463,47229,52733
Kepulauan Riau,1254,2530,1476,47840,53100
Sulawesi Tenggara,1240,2607,1326,49253,54426
Riau,1239,2856,1751,52592,58438
Jambi,1197,2395,1299,48070,52961
Kalimantan Tengah,1188,2993,1782,50003,55966
Sulawesi Utara,1049,2361,1142,43497,48049
Bengkulu,832,1693,1003,34082,37610
Kalimantan Utara,703,1504,890,27571,30668
Kep. Bangka Belitung,684,1559,891,29866,33000
Maluku,577,1441,786,26553,29357
Papua,567,1289,593,20242,22691
Papua Tengah,503,1422,686,19853,22464
Maluku Utara,486,1411,838,21793,24528
Gorontalo,452,1036,550,19098,21136
Sulawesi Barat,402,789,432,15948,17571
LAINNYA,394,683,258,10636,11971
Papua Pegunungan,380,941,544,16862,18727
Papua Barat,339,836,479,13445,15099
Papua Selatan,283,614,343,10283,11523
Papua Barat Daya,161,496,248,7740,8645
nan,0,0,0,111,111
